16:58:23.571400> Lenta has started...Start SubscribeToAggTradeStream @aggTrade [future] process...
16:58:23.572401> WebSocket connected! Start @depth [Future] process...
16:58:23.572401> WebSocket connected! Start Partial @depth20 [Future] process...
16:58:24.189305> WebSocket connected! Start Partial @depth20 [Future] process...
16:58:24.658299> Lenta has started...Start SubscribeToAggTradeStream @aggTrade [future] process...
16:58:24.671298> WebSocket connected! Start Partial @depth20 [Future] process...
16:58:24.676314> WebSocket connected! Start Partial @depth20 [Future] process...
16:58:24.681294> WebSocket connected! Start @depth [Future] process...
16:58:25.218807> BinanceFuture - Vxxv1AWf[USD_M] USD_M Balance: 98.09298958 USDT
16:58:26.000884> Try adding SellLimit, Ask: 69515.9
16:58:26.001884> Support: 69510.8 VolS:1.055 Resistence: 69515.9 VolR:3.476
16:58:26.292383> [1Leg]: Sell OK BTCUSDC at 69520.90;Gap=-1.30;Price=69515.90;Slippage=-5.0;Execution=287.499 ms;
16:58:26.293383> adding Sell (1Leg), ticket = 3205400154 ticketCustom = 1
16:58:29.475769> Try place lock BuyLimit, Bid: 69468.3 Ask:  69468.4
16:58:29.775959> [1Leg]: Buy OK BTCUSDC at 69463.30;Gap=-5.65;Price=69468.40;Slippage=5.1;Execution=299.191 ms;
16:58:29.776960> Placed lock BuyLimit, ticketCustom= 2, ticket= 3205400154 
16:58:32.001538> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69459.7 Ask:  69459.8
16:58:32.002490> Try Open SellLimit, Ask: 69459.8
16:58:32.002490> Support: 69459.7 VolS:1.162 Resistence: 69459.8 VolR:3.125
16:58:32.287332> [1Leg]: Sell OK BTCUSDC at 0.00;Gap=0.75;Price=69459.80;Slippage=69459.8;Execution=284.841 ms;
16:58:32.288332> Placed Main SellLimit, ticketCustom = 3 ticket = 3205404717
16:58:34.000573> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.002567> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.004561> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.005567> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.007561> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.008566> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
